path,bytes,sha256,source_url,r2_key
publications/G44Philosophy_of_Public_Finance.CV.pdf,589244,d1d2008a518fd18bb38b24fd04059df87050a1f2c33617267b9f064668b60820,https://masongaffney.org/publications/G44Philosophy_of_Public_Finance.CV.pdf,gaffney/publications/G44Philosophy_of_Public_Finance.CV.pdf
publications/G45The_Income-Stimulating_Incentives_of_the_Property_Tax.pdf,260889,53d64bd78550eee611183134b4c99aab898a5ddea9ab983b93aaea934a436f60,https://masongaffney.org/publications/G45The_Income-Stimulating_Incentives_of_the_Property_Tax.pdf,gaffney/publications/G45The_Income-Stimulating_Incentives_of_the_Property_Tax.pdf
publications/G4a-PropTax&amp;IntergovReltns.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/G4a-PropTax&amp;IntergovReltns.CV.pdf,gaffney/publications/G4a-PropTax&amp;IntergovReltns.CV.pdf
publications/G60Cannan_hits_the_Mark.CV.pdf,153758,9917251b3c030171ec68a571abb8256154b45ffc2b97c13a2b4d56838689b921,https://masongaffney.org/publications/G60Cannan_hits_the_Mark.CV.pdf,gaffney/publications/G60Cannan_hits_the_Mark.CV.pdf
publications/H18_Water_Giveaway.pdf,59848,8b7a9025a4a8d65693c325109e85b992f067b9ba961e08e2bf1c94a7ec663049,https://masongaffney.org/publications/H18_Water_Giveaway.pdf,gaffney/publications/H18_Water_Giveaway.pdf
publications/H19-HowaWaterMarketMightWork.CV.pdf,54391,3f8d6043582fc62a86b1e1d36c5a3e751c98a72cfc014044c693f416345226c8,https://masongaffney.org/publications/H19-HowaWaterMarketMightWork.CV.pdf,gaffney/publications/H19-HowaWaterMarketMightWork.CV.pdf
publications/H20WhoseWater--Ours.CV.pdf,250600,21edf72d13e5db4892a05eb0e7d023859d9f6e32ae7a401acc027b433f9fcd07,https://masongaffney.org/publications/H20WhoseWater--Ours.CV.pdf,gaffney/publications/H20WhoseWater--Ours.CV.pdf
publications/H20Whose_Water_Ours_Bibliography.pdf,47139,a9333bd7c2e9f88727d7f783a1bf3c1090d01f9ceba131173198779e449e5d2d,https://masongaffney.org/publications/H20Whose_Water_Ours_Bibliography.pdf,gaffney/publications/H20Whose_Water_Ours_Bibliography.pdf
publications/H20Whose_Water_Ours_unabridged_reformatted.pdf,248720,7eed5bed0775fd7ab5c3051ba1b6a03f055eee7a695365b23de57a1a0d7bd088,https://masongaffney.org/publications/H20Whose_Water_Ours_unabridged_reformatted.pdf,gaffney/publications/H20Whose_Water_Ours_unabridged_reformatted.pdf
publications/H21-TaxableSurplusinWaterResources.CV.pdf,160426,51fa428e4821eef3a136d8bc4f12c7682e5e2583b00f278313254234a16efcd5,https://masongaffney.org/publications/H21-TaxableSurplusinWaterResources.CV.pdf,gaffney/publications/H21-TaxableSurplusinWaterResources.CV.pdf
publications/H22-WhatPriceWaterMarketing.CV.pdf,547869,e21dababc7bd18b538eda82d23d4df3862391f987ad39fcd0e7afda068a20ebc,https://masongaffney.org/publications/H22-WhatPriceWaterMarketing.CV.pdf,gaffney/publications/H22-WhatPriceWaterMarketing.CV.pdf
publications/H3-DiseconomiesInherentinWesternWaterLaws21.CV.CV.pdf,1041348,8b58684c2abe286012d64ce832c9e12dae692862a6d8c907c231d362034d6cb9,https://masongaffney.org/publications/H3-DiseconomiesInherentinWesternWaterLaws21.CV.CV.pdf,gaffney/publications/H3-DiseconomiesInherentinWesternWaterLaws21.CV.CV.pdf
publications/H4-WaterLaw&amp;EconomicTransfersReply1.CV.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/H4-WaterLaw&amp;EconomicTransfersReply1.CV.CV.pdf,gaffney/publications/H4-WaterLaw&amp;EconomicTransfersReply1.CV.CV.pdf
publications/H5Comparison_of_Market_Pricing.CV.pdf,547819,8bf7b211fb6a36d38183d434ffa8d3efad35fe9dabc8f7a4f82bc43498a2b0ae,https://masongaffney.org/publications/H5Comparison_of_Market_Pricing.CV.pdf,gaffney/publications/H5Comparison_of_Market_Pricing.CV.pdf
publications/H8-EconomicAspectsofWaterResourcePolicy.CV.pdf,159259,d2a6f96660d8888d4dee98ef485a1d2112d41b8e4dfb7c24ff48769c4bb13511,https://masongaffney.org/publications/H8-EconomicAspectsofWaterResourcePolicy.CV.pdf,gaffney/publications/H8-EconomicAspectsofWaterResourcePolicy.CV.pdf
publications/I11-TaxInducedSlowTurnoverofCapital.CV.CV.pdf,1574718,ae78fa3d87171ec176f7d9544a9801542626f2090163f55321e64a5e25548554,https://masongaffney.org/publications/I11-TaxInducedSlowTurnoverofCapital.CV.CV.pdf,gaffney/publications/I11-TaxInducedSlowTurnoverofCapital.CV.CV.pdf
publications/I16Environmental_Policies_and_Full_Employment.CV.pdf,240510,922bc1751a230fe99d4ea63f2c04a09c5c567f170a4c8d98cab9e255c14d3d7a,https://masongaffney.org/publications/I16Environmental_Policies_and_Full_Employment.CV.pdf,gaffney/publications/I16Environmental_Policies_and_Full_Employment.CV.pdf
publications/I1Full_Employment_Limited_Land_&amp;_Capital.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/I1Full_Employment_Limited_Land_&amp;_Capital.CV.pdf,gaffney/publications/I1Full_Employment_Limited_Land_&amp;_Capital.CV.pdf
publications/I2012Gaffney_Reverberations_AFEE_lecture_2012.pdf,200570,5db128b73c00d7ad679063f7991ef0df52575d074251e898958abb784c4fa5e6,https://masongaffney.org/publications/I2012Gaffney_Reverberations_AFEE_lecture_2012.pdf,gaffney/publications/I2012Gaffney_Reverberations_AFEE_lecture_2012.pdf
publications/I2015-AJES-v74-n2-Real-assets-model.pdf,204852,dc08f531cc7053afa82b42505855462621963ecdc15c012dcbac1feda306fe0d,https://masongaffney.org/publications/I2015-AJES-v74-n2-Real-assets-model.pdf,gaffney/publications/I2015-AJES-v74-n2-Real-assets-model.pdf
publications/I6A-1996_Taxes_Capital_and_Jobs_1978_revised.pdf,127622,00470969fb07f28bc4a37c41a5a2280dda4cf1307a49bdd4d424eb102038e4a7,https://masongaffney.org/publications/I6A-1996_Taxes_Capital_and_Jobs_1978_revised.pdf,gaffney/publications/I6A-1996_Taxes_Capital_and_Jobs_1978_revised.pdf
publications/I6Taxes_Capital_and_Jobs.CV.pdf,196523,57a7ebbc6d9318513ba739362ad109ea105329041d1d46e6f0f0a838ad3ad822,https://masongaffney.org/publications/I6Taxes_Capital_and_Jobs.CV.pdf,gaffney/publications/I6Taxes_Capital_and_Jobs.CV.pdf
publications/K142_Centuries_Thought_Land_Taxation.CV.pdf,436314,91b5a45a452d0b01f0a031a4073fc44f1a60c53fb63009b5dfb936b60822f01e,https://masongaffney.org/publications/K142_Centuries_Thought_Land_Taxation.CV.pdf,gaffney/publications/K142_Centuries_Thought_Land_Taxation.CV.pdf
publications/K17-AlfredRusselWallacesCampaign.CV.pdf,93200,39c02626bda3f7d96a38e4aa64505bf61c295d6989368a77558b98fd80652f20,https://masongaffney.org/publications/K17-AlfredRusselWallacesCampaign.CV.pdf,gaffney/publications/K17-AlfredRusselWallacesCampaign.CV.pdf
publications/K18George_McGlynn_and_Leo_XIII.pdf,1687497,85e1005b2db13ce5e814994e39e16f718ec0b5b6329da700621ee56176b87f09,https://masongaffney.org/publications/K18George_McGlynn_and_Leo_XIII.pdf,gaffney/publications/K18George_McGlynn_and_Leo_XIII.pdf
publications/K1Neo-classical_Stratagem.CV.pdf,1267780,e9d5f732a6e080e4069a2a00f0718472e4478787f92f1c57147fe22e547e958d,https://masongaffney.org/publications/K1Neo-classical_Stratagem.CV.pdf,gaffney/publications/K1Neo-classical_Stratagem.CV.pdf
publications/K2008_Keeping_Land_in_Capital_Theory.pdf,952225,d37a87029c08b36d6bdd14cc3515c336a219e40f080e683f82809c1ffe625b52,https://masongaffney.org/publications/K2008_Keeping_Land_in_Capital_Theory.pdf,gaffney/publications/K2008_Keeping_Land_in_Capital_Theory.pdf
publications/K2012_Going_My_Way.pdf,139627,990bba38c952f11507df48140b8c8c706aae6d7132c0806ef4cddd2b1ad4cccc,https://masongaffney.org/publications/K2012_Going_My_Way.pdf,gaffney/publications/K2012_Going_My_Way.pdf
publications/K9-StabileHGInfluenceonJBClarkMGComments.CV.pdf,153246,45c83c9c6dfa05adf5a1fe8caafbb456d470a58e3fa3a4aef320cf5fd25e3bac,https://masongaffney.org/publications/K9-StabileHGInfluenceonJBClarkMGComments.CV.pdf,gaffney/publications/K9-StabileHGInfluenceonJBClarkMGComments.CV.pdf
publications/L2018_Gaffney-Cobb-draft-Corporate-Power-&amp;-Military-2018-07-22.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/L2018_Gaffney-Cobb-draft-Corporate-Power-&amp;-Military-2018-07-22.pdf,gaffney/publications/L2018_Gaffney-Cobb-draft-Corporate-Power-&amp;-Military-2018-07-22.pdf
publications/L2Rent-Seeking_and_Global_Conflict.CV.pdf,54483,25960eab32cfcbc758948825124b92392cebd89ebb973b72b808de5d82d71aa8,https://masongaffney.org/publications/L2Rent-Seeking_and_Global_Conflict.CV.pdf,gaffney/publications/L2Rent-Seeking_and_Global_Conflict.CV.pdf
publications/N3Justice_in_Distribution.CV.pdf,224848,e94859a23850ed5b3b8b60588cf663d21ddbf14561902a4076945feaed745565,https://masongaffney.org/publications/N3Justice_in_Distribution.CV.pdf,gaffney/publications/N3Justice_in_Distribution.CV.pdf
publications/O11Time_Taxes_Turnover.CV.pdf,394507,5628dfc8d89c385d4b0956f9612d1599bd2c8b018c5918599eaf667850e993a5,https://masongaffney.org/publications/O11Time_Taxes_Turnover.CV.pdf,gaffney/publications/O11Time_Taxes_Turnover.CV.pdf
publications/O11aTaxes_on_Yield_Property_Income_and_Site.CV.pdf,270140,155ae82450aab4a5ed8e4dfe5a0fd22d23585b260743598d17eb1b05e17f1a42,https://masongaffney.org/publications/O11aTaxes_on_Yield_Property_Income_and_Site.CV.pdf,gaffney/publications/O11aTaxes_on_Yield_Property_Income_and_Site.CV.pdf
publications/O12-IrrigationDistricts&amp;EconomicDevelopmentSanJoaquinValley.CV.CV.pdf,236,9448f8a1159c9b14e3e1b9d8eab1a6ddf88d26e1f888a34cef430c756e4e6e1e,https://masongaffney.org/publications/O12-IrrigationDistricts&amp;EconomicDevelopmentSanJoaquinValley.CV.CV.pdf,gaffney/publications/O12-IrrigationDistricts&amp;EconomicDevelopmentSanJoaquinValley.CV.CV.pdf
